Time,Fc5,Fc3,Fc1,Fcz,Fc2,Fc4,Fc6,C5,C3,C1,Cz,C2,C4,C6,Cp5,Cp3,Cp1,Cpz,Cp2,Cp4,Cp6,Fp1,Fpz,Fp2,Af7,Af3,Afz,Af4,Af8,F7,F5,F3,F1,Fz,F2,F4,F6,F8,Ft7,Ft8,T7,T8,T9,T10,Tp7,Tp8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,Po7,Po3,Poz,Po4,Po8,O1,Oz,O2,Iz,Target
18.3,-51,-31,-34,-26,-34,-34,-55,-51,-25,-25,-20,-25,-35,-12,-31,-22,-20,-20,-13,-14,-5,-159,-139,-152,-105,-106,-79,-110,-108,-59,-60,-61,-64,-61,-61,-62,-62,-58,-48,-33,-10,-33,-8,-7,-41,-34,-24,-23,-31,-30,-20,-26,-27,-25,-40,-16,-25,-27,-28,-49,-29,-20,-30,-28,REST
18.3063,-52,-46,-50,-40,-50,-49,-53,-56,-35,-34,-32,-39,-49,-36,-29,-29,-27,-27,-22,-26,-20,-123,-121,-132,-80,-80,-72,-119,-117,-50,-58,-58,-60,-58,-54,-55,-68,-62,-60,-26,15,-22,12,7,-19,-20,-2,-1,-10,-9,-3,-8,-13,-10,-16,5,-5,-9,-10,-31,-5,-3,-16,-13,REST
18.3125,-18,-22,-25,-18,-24,-24,-13,-32,-10,-10,-8,-15,-23,-6,0,-4,-3,-6,0,-5,4,-124,-99,-125,-77,-78,-58,-96,-94,-53,-36,-37,-40,-39,-40,-42,-73,-55,-65,-8,13,-7,16,18,-26,-8,-4,-4,-11,-12,-9,-11,-15,-14,-16,-3,-12,-22,-17,-38,-16,-11,-27,-24,REST
18.3188,-23,-33,-39,-33,-36,-37,-32,-45,-27,-34,-31,-35,-42,-26,-21,-29,-26,-32,-26,-29,-19,-177,-139,-160,-124,-125,-86,-110,-108,-94,-55,-58,-59,-56,-65,-65,-97,-87,-39,-38,-27,-36,-21,1,-51,-35,-23,-22,-31,-31,-32,-32,-29,-28,-39,-14,-23,-31,-23,-44,-24,-10,-22,-16,REST
18.325,-45,-44,-49,-40,-48,-49,-53,-48,-36,-39,-34,-37,-45,-30,-16,-26,-24,-29,-21,-25,-13,-148,-122,-134,-111,-110,-66,-87,-84,-51,-37,-36,-37,-36,-45,-48,-55,-44,-4,-17,18,-14,11,21,-7,-12,4,4,-7,-6,-7,-7,-4,-3,-11,8,-1,-8,4,-20,-1,10,-2,8,REST
18.3313,-30,-18,-22,-16,-23,-24,-40,-28,-15,-16,-10,-15,-27,-5,7,-4,-3,-7,-3,-10,1,-93,-81,-97,-80,-80,-44,-61,-59,-18,-33,-35,-36,-35,-34,-37,-39,-17,-27,-10,33,-10,23,17,2,-10,0,0,-12,-12,-14,-14,-12,-11,-16,-2,-10,-18,-11,-33,-14,5,-12,2,REST
18.3375,-47,-35,-39,-35,-41,-43,-53,-54,-36,-40,-30,-36,-51,-21,-19,-31,-28,-30,-27,-34,-23,-103,-102,-127,-101,-103,-65,-90,-88,-50,-52,-54,-55,-52,-54,-55,-54,-42,-45,-23,14,-22,18,1,-22,-21,-21,-20,-27,-27,-31,-25,-22,-20,-21,-17,-23,-26,-15,-35,-25,-1,-15,-11,REST
18.3438,-38,-33,-36,-36,-42,-43,-47,-52,-30,-37,-27,-31,-44,-13,-18,-25,-24,-25,-17,-22,-10,-129,-106,-133,-87,-88,-54,-100,-98,-42,-24,-23,-26,-24,-35,-38,-56,-51,-2,-9,11,-7,36,8,-12,-8,-5,-4,-14,-13,-15,-8,-8,-6,-10,-6,-11,-15,-4,-25,-13,5,-11,-10,REST
18.35,-11,-16,-19,-24,-26,-27,-31,-35,-16,-23,-17,-19,-34,-13,-11,-16,-15,-19,-11,-17,-6,-134,-102,-136,-77,-79,-57,-102,-99,-53,-34,-36,-39,-36,-37,-39,-62,-58,1,-27,-21,-27,22,-7,-20,-29,-7,-6,-22,-21,-26,-23,-23,-22,-34,-6,-14,-26,-20,-42,-18,3,-16,-4,REST
18.3562,-22,-39,-44,-44,-43,-43,-42,-48,-35,-41,-37,-37,-50,-36,-24,-32,-30,-34,-28,-31,-20,-137,-118,-149,-78,-79,-68,-105,-101,-51,-51,-52,-53,-50,-44,-45,-64,-59,-13,-32,-23,-30,3,3,-24,-28,3,4,-13,-12,-21,-15,-17,-16,-27,11,1,-13,-9,-31,0,16,-6,15,REST
18.3625,-4,-27,-30,-31,-29,-29,-20,-27,-17,-24,-21,-22,-30,-17,-2,-10,-10,-16,-10,-12,-2,-130,-93,-112,-56,-57,-39,-73,-70,-22,-15,-15,-17,-15,-26,-31,-44,-46,17,-15,44,-13,22,20,10,-14,10,10,-5,-5,-15,-12,-16,-15,-16,1,-6,-17,-13,-35,-10,4,-12,-8,REST
18.3688,10,-18,-22,-30,-33,-35,-27,-31,-20,-34,-26,-33,-45,-20,-15,-26,-24,-32,-29,-32,-22,-101,-90,-101,-88,-91,-54,-92,-91,-43,-41,-45,-46,-43,-49,-50,-74,-67,-4,-24,7,-23,3,-5,-17,-23,-21,-20,-32,-32,-39,-35,-35,-35,-25,-29,-32,-37,-29,-50,-35,-11,-18,-23,REST
18.375,-39,-43,-48,-50,-53,-55,-56,-62,-40,-49,-38,-46,-58,-22,-30,-37,-34,-35,-31,-35,-21,-96,-102,-115,-88,-89,-63,-107,-105,-36,-61,-61,-62,-60,-50,-52,-77,-57,-30,-20,5,-17,8,18,-20,-17,-11,-10,-18,-16,-20,-15,-16,-14,-20,-7,-12,-19,-9,-31,-12,4,-3,-3,REST
18.3813,-29,-23,-26,-31,-34,-35,-37,-51,-20,-24,-16,-24,-34,-23,-7,-13,-13,-11,-10,-14,-5,-126,-101,-118,-92,-93,-49,-85,-82,-46,-30,-29,-32,-30,-32,-35,-26,-24,-31,-30,1,-28,18,11,-14,-29,-4,-3,-6,-6,-12,-9,-16,-15,-33,-1,-7,-15,-14,-36,-12,3,1,-10,REST
18.3875,-2,-14,-17,-24,-31,-32,-35,-53,-22,-25,-17,-25,-33,-30,-13,-24,-22,-19,-20,-21,-12,-105,-91,-110,-91,-92,-49,-73,-69,-36,-30,-33,-34,-32,-29,-31,-18,-25,-29,-21,-2,-17,4,-11,-22,-16,-20,-19,-16,-15,-17,-11,-15,-13,-13,-14,-17,-15,-11,-32,-19,3,7,-8,REST
18.3938,-42,-24,-28,-20,-21,-22,-28,-54,-27,-23,-10,-14,-17,1,-6,-17,-14,-6,-5,-4,10,-75,-64,-74,-50,-51,-30,-43,-39,4,-20,-21,-23,-21,-12,-14,-27,-9,9,6,23,8,7,9,-12,7,-3,-2,1,1,0,7,3,5,4,3,1,-1,7,-15,-2,19,18,17,REST
18.4,-36,-15,-18,-14,-14,-16,-33,-35,-19,-18,-6,-11,-18,-5,2,-12,-8,-3,-7,-7,2,-96,-81,-91,-64,-67,-40,-72,-70,-22,-23,-24,-26,-24,-25,-26,-42,-38,17,-21,-11,-20,-12,7,-30,-21,-16,-15,-14,-14,-17,-11,-18,-17,-26,-13,-15,-20,-20,-41,-20,-2,-4,-10,REST
20.5,-7,9,4,1,0,-2,5,-12,-11,-5,11,8,-5,4,-12,17,20,-1,10,10,7,-79,-55,-68,-30,-31,-18,-33,-30,-8,-17,-20,-21,-19,-15,-16,-16,4,-46,-2,-57,-1,2,-3,-34,1,3,2,-1,-1,-2,3,-1,2,-3,2,2,-7,-4,-25,-2,-1,2,3,LEFT
20.5063,3,5,1,-3,-9,-11,-4,-16,-11,-8,3,2,-14,1,-21,10,12,-7,3,2,-1,-48,-44,-66,-42,-42,-22,-37,-34,5,-12,-13,-14,-13,-7,-9,10,-4,-17,2,3,4,3,3,-14,6,4,5,5,5,5,10,3,5,4,-1,2,-3,-2,-23,-1,-7,-3,-12,LEFT
20.5125,30,13,8,8,3,2,4,-12,1,4,14,11,-5,5,-9,22,23,8,16,13,3,-51,-36,-62,-43,-44,-20,-54,-50,6,-6,-10,-11,-10,-10,-11,-11,-28,-6,2,65,4,1,5,10,3,2,2,4,3,6,10,2,3,0,-6,-1,-3,-2,-23,-4,-5,-4,-10,LEFT
20.5188,-10,-13,-18,-13,-12,-14,-5,-34,-23,-18,-5,-7,-21,-1,-21,4,6,-6,1,1,-11,-73,-54,-70,-58,-60,-40,-63,-58,-24,-39,-41,-42,-40,-34,-35,-51,-49,-13,-3,31,-1,-1,-4,-4,0,-7,-7,-10,-10,-4,-3,-5,-4,-2,-7,-5,-10,-5,-26,-7,-1,1,-7,LEFT
20.525,-16,-18,-22,-18,-20,-20,-4,-24,-26,-24,-9,-10,-25,3,-18,2,3,-12,-1,0,-8,-81,-53,-61,-39,-39,-25,-21,-16,-1,-23,-22,-23,-23,-20,-23,-24,-11,13,5,-10,7,24,1,-12,8,2,3,-6,-7,2,3,3,5,5,5,2,-8,2,-20,-1,-1,-2,-3,LEFT
20.5312,-4,-5,-9,-9,-13,-13,-7,-18,-24,-22,-4,-5,-20,1,-18,0,1,-13,-2,-2,-10,-81,-52,-67,-46,-45,-26,-27,-24,-1,-26,-29,-30,-27,-23,-24,-4,-2,-8,-12,-3,-12,-6,-8,-17,-12,-14,-13,-26,-27,-17,-18,-16,-14,-18,-15,-21,-30,-23,-44,-26,-23,-27,-27,LEFT
20.5375,-39,-29,-34,-29,-33,-34,-34,-56,-51,-45,-27,-27,-39,-20,-44,-26,-24,-34,-23,-22,-28,-84,-61,-97,-74,-74,-42,-62,-59,-29,-47,-49,-49,-45,-29,-29,-4,-21,-39,-11,4,-7,-22,-6,-26,-5,-24,-23,-27,-26,-16,-15,-8,-6,-1,-19,-20,-22,-11,-31,-19,-13,-15,-20,LEFT
20.5438,-26,-13,-16,-10,-8,-8,4,-37,-24,-15,0,1,-5,15,-20,7,8,1,11,16,8,-73,-42,-70,-52,-51,-10,-32,-29,-25,-11,-10,-12,-10,8,5,29,6,-26,26,29,29,6,14,-2,28,6,7,14,14,21,21,23,25,25,13,16,8,17,-5,16,16,11,8,LEFT
20.55,8,13,10,11,17,16,35,-11,3,8,20,17,11,22,-1,30,30,19,23,25,13,-92,-61,-69,-54,-55,-17,-41,-39,-22,-11,-14,-16,-14,-5,-6,-4,-18,-2,6,15,7,10,-6,-13,7,-1,0,9,7,7,4,4,5,-1,4,6,-5,-3,-24,2,5,5,2,LEFT
20.5563,6,-11,-16,-15,-14,-15,-8,-19,-14,-18,-10,-15,-24,-1,-17,3,5,-10,-8,-6,-15,-55,-51,-56,-48,-49,-31,-38,-34,26,-23,-24,-26,-24,-25,-26,-21,-21,21,2,-1,4,34,-1,-26,6,-11,-10,-5,-4,-7,-10,-4,-3,6,-5,-3,-13,-6,-26,-5,-5,-2,-3,LEFT
20.5625,17,-10,-14,-13,-13,-13,-7,-12,-6,-15,-6,-11,-17,13,-4,8,8,-6,-2,3,-3,-8,-15,-23,-20,-20,-11,4,10,44,-13,-14,-16,-15,-13,-15,5,12,11,7,27,7,22,6,1,6,-4,-4,-4,-3,-10,-12,-7,-7,-2,-2,-5,-21,-18,-39,-8,-14,-17,-11,LEFT
20.5688,-3,-18,-23,-19,-18,-19,-15,-35,-22,-31,-17,-20,-30,-10,-15,-9,-7,-23,-20,-16,-23,-54,-45,-47,-21,-20,-22,-15,-11,21,-26,-29,-30,-27,-21,-22,-1,-7,-4,-15,33,-15,14,-5,2,-13,-9,-8,-20,-19,-26,-28,-22,-21,-13,-3,-14,-30,-32,-52,-17,-18,-26,-10,LEFT
20.575,17,-5,-8,-7,-11,-11,-2,-18,-15,-19,-5,-6,-21,-1,-8,-2,-1,-14,-6,-4,-11,-13,1,-7,31,31,14,5,9,78,16,16,14,15,16,14,24,6,41,11,21,14,53,3,1,14,7,8,-2,-2,-3,-1,7,10,13,10,0,-9,-2,-24,-3,-7,-10,-4,LEFT
20.5813,60,33,30,23,22,20,22,11,13,10,21,19,4,12,0,15,15,6,14,18,7,27,32,20,49,48,30,15,19,76,29,25,23,26,20,20,24,5,16,2,7,2,13,-3,-21,2,-14,-13,-14,-15,-12,-12,-2,-2,-4,-18,-22,-23,-18,-40,-27,-33,-29,-37,LEFT
20.5875,40,15,11,6,4,2,3,-26,-11,-8,2,-2,-18,-3,-31,-8,-4,-12,-7,-3,-13,42,43,40,43,43,26,26,30,57,21,20,18,22,18,17,37,23,-5,2,29,4,4,5,-22,7,-16,-15,-11,-10,-9,-10,-2,-1,8,-12,-14,-10,-12,-32,-13,-22,-21,-26,LEFT
20.5938,52,36,34,33,30,29,34,-6,14,22,27,25,7,25,1,27,27,20,24,26,15,139,138,130,130,131,93,105,109,134,77,78,76,78,72,69,106,90,50,35,86,38,61,21,21,38,25,24,27,28,28,27,28,31,38,19,21,23,19,-3,20,2,4,-1,LEFT
20.6,88,74,72,69,64,62,63,29,49,51,51,49,27,40,30,49,50,37,39,40,30,198,186,167,181,180,128,145,149,155,99,97,96,99,87,87,134,112,84,36,42,37,55,8,1,37,17,17,25,25,26,24,27,29,33,12,15,22,16,-4,12,1,12,-1,LEFT
20.6063,105,80,76,76,64,62,58,31,50,49,50,46,26,37,27,42,44,31,36,39,34,249,220,208,197,195,148,172,177,164,116,115,114,117,103,104,159,129,110,41,45,44,55,15,18,44,24,25,27,27,33,34,43,44,42,16,20,29,33,12,17,7,21,5,LEFT
20.6125,139,110,106,102,96,93,95,52,68,69,76,71,59,48,40,59,59,49,62,63,54,289,278,275,238,237,194,202,206,198,171,171,169,171,146,145,164,121,136,44,71,45,65,24,34,45,29,30,34,35,44,48,53,54,40,15,21,33,37,16,18,5,19,-4,LEFT
20.6188,170,141,137,126,117,114,117,58,79,81,92,88,74,43,40,68,69,59,71,70,51,259,291,287,223,223,208,203,209,173,182,178,178,180,155,156,148,112,108,45,89,47,67,8,51,49,41,42,52,53,60,60,57,59,49,37,42,52,45,25,43,27,40,18,LEFT
20.625,182,164,159,152,130,127,127,72,103,106,117,108,92,64,70,101,101,84,94,89,67,256,291,294,256,257,240,240,247,212,190,187,188,190,183,184,194,160,104,78,122,80,107,26,72,82,83,83,88,88,87,82,74,76,82,76,76,73,62,40,74,49,51,37,LEFT
20.6313,203,178,172,165,141,137,122,99,123,120,127,111,90,86,88,114,114,92,95,88,66,303,305,305,304,303,243,260,265,290,187,184,185,186,169,170,220,182,140,71,119,70,120,23,69,69,78,78,78,77,69,62,58,58,58,62,61,56,44,23,58,38,37,21,LEFT
20.6375,178,144,138,128,102,99,72,83,100,92,94,80,52,42,70,88,90,68,66,61,38,303,295,280,283,280,207,217,221,252,178,175,176,177,134,137,199,144,125,28,109,30,99,1,68,32,72,73,76,76,67,62,60,61,30,66,65,64,55,35,65,54,54,35,LEFT
20.6438,187,152,146,133,107,105,72,105,117,107,107,96,68,45,103,111,110,90,92,88,63,280,283,265,269,267,219,218,222,246,200,197,198,198,152,154,183,110,123,58,133,62,125,13,80,63,101,100,105,106,98,91,89,92,64,92,91,87,81,60,89,79,74,60,LEFT
20.65,180,163,157,146,125,122,96,112,124,116,118,110,84,71,112,117,117,99,102,99,72,256,251,246,265,264,194,187,190,232,163,158,159,160,137,139,147,92,130,63,111,64,107,-3,65,63,75,76,82,82,75,67,66,68,56,69,67,62,49,29,62,55,49,36,LEFT
20.6562,121,111,105,107,97,94,99,65,77,73,82,79,57,51,67,77,79,63,69,68,42,270,224,218,262,261,148,142,146,226,120,116,117,118,102,103,119,106,148,42,84,44,74,3,61,45,59,60,60,61,53,44,43,45,42,59,54,44,31,11,52,40,29,27,LEFT
20.6625,105,91,86,85,75,73,73,62,67,61,67,61,40,46,63,71,71,53,55,54,32,228,201,194,225,226,140,162,166,210,111,108,109,110,83,84,110,124,131,43,67,44,86,18,56,43,58,58,51,51,37,25,28,29,35,49,40,24,14,-7,35,25,9,5,LEFT
20.6688,139,82,78,64,45,43,37,53,54,42,38,30,8,25,41,48,49,22,19,20,3,168,152,153,176,176,107,126,128,184,83,79,81,82,49,52,68,69,77,11,70,11,71,-7,49,13,44,45,30,30,11,-4,2,4,8,39,26,7,-5,-25,24,16,-1,-1,LEFT
20.675,77,51,45,40,26,25,25,27,32,26,20,15,-5,17,33,39,40,11,9,13,2,152,132,121,150,151,90,77,78,180,74,71,72,74,50,51,64,45,87,26,121,30,80,-1,73,31,60,60,45,45,25,12,18,21,32,58,45,24,16,-5,43,30,12,26,LEFT
20.6813,47,58,53,48,37,36,22,33,37,37,33,27,5,38,43,54,53,26,22,27,15,109,116,102,120,122,87,51,54,156,77,73,74,75,45,46,61,55,94,31,77,32,77,-10,47,31,42,42,34,33,17,4,11,12,24,32,24,10,2,-19,18,12,-2,5,LEFT
20.6875,54,45,41,30,15,13,7,15,19,15,13,3,-17,13,14,29,30,3,-5,3,-9,13,49,46,52,54,45,3,5,84,43,38,39,41,6,8,3,4,59,1,15,2,52,-26,10,3,19,21,12,13,-2,-15,-7,-4,-1,18,13,-4,-13,-32,12,6,-10,6,LEFT
20.6938,64,27,22,10,-1,-1,6,15,16,7,6,-5,-18,6,19,30,29,7,-1,8,-3,14,24,8,16,18,27,-9,-8,76,32,29,29,31,6,6,15,-12,73,12,61,13,43,-18,36,14,36,37,26,25,13,-1,6,10,12,33,27,6,2,-19,24,18,-3,13,LEFT
20.7,39,10,4,-1,-7,-7,5,3,4,-4,-1,-10,-21,10,13,17,17,1,-5,2,-10,-3,-6,-12,24,27,-1,-18,-16,63,-5,-10,-10,-8,-25,-24,-20,-22,39,-3,46,-3,13,-48,20,-2,7,8,-1,-2,-11,-25,-13,-11,-9,2,-3,-15,-18,-39,-7,-5,-17,-26,LEFT
20.7063,-14,-25,-31,-31,-38,-38,-24,-30,-25,-29,-26,-31,-46,-13,-10,-6,-5,-19,-24,-18,-25,-63,-36,-32,7,11,-16,-34,-32,47,-20,-21,-21,-18,-35,-34,-41,-29,21,-14,25,-11,24,-22,10,-8,10,11,5,7,-3,-17,-9,-6,-8,8,9,-4,-11,-32,8,1,-12,-14,LEFT
20.7125,26,9,5,-1,-8,-8,-3,11,14,6,6,0,-16,5,20,29,27,14,8,11,1,-39,-14,-18,-2,1,23,5,7,58,10,8,8,10,-1,-2,4,17,46,10,29,11,51,0,24,12,31,31,26,26,17,1,7,10,8,18,21,5,-1,-23,16,6,-11,-3,LEFT
20.7188,29,14,9,5,2,1,0,6,10,1,7,1,-13,3,5,16,17,5,-1,4,-8,-36,-40,-56,-11,-7,-1,-22,-21,43,-7,-12,-12,-9,-21,-18,-8,-16,10,-10,-38,-10,46,-23,-11,-8,6,6,-1,0,-7,-20,-9,-7,-12,-3,-4,-15,-16,-37,-8,-13,-25,-26,LEFT
20.725,-4,-13,-17,-13,-14,-14,-14,-21,-12,-21,-8,-12,-21,-8,-10,1,2,-3,-7,0,-11,-66,-49,-68,-3,2,-12,-53,-51,43,-1,-3,-3,-1,-15,-14,-27,-55,11,-2,27,2,48,-6,32,4,26,27,13,14,8,1,8,12,5,16,13,2,3,-18,11,1,-15,-14,LEFT
20.7313,5,5,2,4,7,6,7,-12,5,-3,8,6,-4,11,12,19,17,15,11,15,0,-82,-50,-53,-19,-16,-5,-68,-67,21,5,1,1,2,-12,-12,-42,-54,18,3,60,4,34,-28,40,3,24,23,8,8,2,-4,0,2,-3,10,5,-5,-8,-30,1,-4,-21,-11,LEFT
20.7375,-3,-12,-17,-17,-18,-19,-18,-30,-13,-23,-14,-14,-31,-8,-6,-4,-3,-8,-11,-7,-21,-93,-88,-91,-52,-50,-35,-94,-93,-23,-33,-36,-36,-34,-40,-39,-60,-69,13,-16,7,-15,20,-47,5,-13,5,5,-6,-6,-11,-16,-10,-8,-15,-4,-6,-14,-15,-35,-10,-13,-27,-23,LEFT
20.7438,16,-11,-16,-20,-22,-23,-25,-14,-6,-15,-10,-8,-28,-6,1,5,5,-2,-2,3,-8,-102,-87,-92,-36,-32,-23,-57,-56,2,-18,-19,-19,-18,-23,-24,-37,-39,32,1,-4,4,27,-24,7,5,16,16,10,10,7,3,7,11,4,11,10,1,4,-18,6,-2,-16,-13,LEFT
20.75,24,6,3,1,-3,-4,-20,3,6,-1,4,6,-16,5,8,17,16,5,6,12,-3,-92,-77,-88,-52,-50,-22,-57,-56,17,-12,-15,-15,-14,-22,-22,-22,-39,17,-6,11,-6,15,-26,0,-5,8,8,0,-1,-4,-7,-1,1,-12,3,-1,-7,-7,-28,-5,1,-15,-9,LEFT
20.7563,-31,-18,-22,-15,-16,-18,-37,-30,-20,-24,-15,-11,-33,-13,-12,-4,-2,-10,-7,-4,-16,-107,-100,-106,-64,-61,-37,-105,-105,-1,-28,-30,-30,-27,-26,-26,-25,-64,-5,-8,22,-5,20,-18,1,-2,12,11,5,6,6,1,11,14,-1,12,10,7,10,-11,9,15,-1,-1,LEFT
20.7625,-11,3,0,2,8,7,1,-15,-1,-2,8,11,-5,10,10,22,22,16,18,18,8,-99,-82,-84,-34,-31,-10,-78,-76,14,-3,-5,-5,-4,-8,-9,-25,-62,9,7,37,8,43,-16,26,8,25,25,18,17,18,8,17,18,1,17,17,13,13,-9,12,15,2,-3,LEFT
20.7688,-2,-1,-6,-8,-6,-7,-1,-17,-8,-16,-9,-8,-24,-9,-4,3,5,-7,-8,-9,-17,-119,-103,-112,-67,-65,-44,-77,-76,-21,-34,-40,-40,-36,-48,-47,-65,-97,-3,-24,2,-23,18,-39,3,-22,1,2,-6,-6,-10,-23,-12,-10,-27,-6,-5,-6,-12,-32,-7,-4,-10,-19,LEFT
20.775,-24,-23,-28,-30,-37,-37,-49,-24,-20,-27,-24,-25,-44,-21,-12,-4,-3,-16,-14,-13,-24,-120,-112,-108,-77,-76,-48,-72,-71,-18,-30,-31,-31,-29,-42,-42,-63,-74,-1,-11,21,-8,8,-22,5,-6,18,18,14,14,11,-2,8,12,-5,13,16,13,11,-10,15,11,3,1,LEFT
20.7812,-16,3,-1,-3,-7,-7,-26,-8,3,-1,4,2,-16,3,5,22,21,8,14,15,-1,-123,-95,-106,-89,-87,-28,-65,-63,-27,-5,-7,-8,-6,-20,-21,-63,-53,-2,-1,12,1,20,-16,-1,0,18,19,18,19,17,6,13,16,-5,15,15,11,8,-14,11,8,-4,-2,LEFT
20.7875,-10,6,3,2,2,1,-6,-7,2,-2,5,5,-10,-5,-6,18,19,6,11,13,-3,-128,-95,-108,-79,-76,-34,-81,-79,-48,-17,-21,-22,-18,-20,-20,-42,-51,20,-12,3,-8,14,-10,2,-7,13,14,14,16,15,7,15,17,-10,11,10,10,6,-14,7,3,-10,-11,LEFT
20.7938,1,10,6,3,5,5,-10,2,8,4,12,12,-2,-5,-2,25,25,16,20,22,7,-118,-87,-96,-45,-41,-22,-63,-61,-17,-13,-14,-14,-12,-11,-13,-21,-50,33,-4,5,-1,-1,-5,1,1,21,21,23,24,23,17,22,25,-3,17,18,17,14,-7,15,4,-8,-14,LEFT
20.8,-5,14,10,2,7,5,-12,-2,7,3,10,11,-6,-3,-6,22,22,16,16,14,1,-148,-108,-112,-90,-88,-36,-83,-82,-50,-26,-29,-29,-27,-30,-30,-51,-78,-18,-13,-9,-11,-11,-22,-4,-11,15,15,17,17,16,6,9,11,-17,12,15,15,6,-15,12,10,-2,-3,LEFT
20.8063,-40,-12,-17,-18,-17,-18,-35,-32,-12,-19,-8,-8,-29,-17,-18,7,8,3,2,-3,-13,-163,-113,-103,-83,-81,-45,-93,-90,-33,-33,-34,-35,-33,-39,-38,-50,-67,-20,-16,15,-13,29,-17,17,-11,20,21,21,21,20,7,10,13,-12,16,20,21,10,-11,18,14,1,5,LEFT
20.8125,3,2,-3,-10,-12,-13,-31,0,9,-6,1,-3,-20,-1,1,22,22,10,13,10,3,-115,-69,-73,0,3,-16,-69,-67,56,-1,-1,-3,-2,-24,-24,-48,-64,25,2,33,4,61,-7,22,4,31,31,29,29,25,14,16,19,1,28,28,22,14,-7,25,14,1,9,LEFT
20.8188,12,6,2,-8,-11,-12,-27,4,8,-7,-2,-4,-17,-3,-2,18,18,5,8,8,3,-116,-88,-106,-26,-26,-35,-81,-79,27,-20,-23,-24,-21,-39,-39,-76,-95,15,-14,42,-12,30,-21,13,-12,20,20,15,15,12,4,8,10,-16,15,14,7,4,-16,10,3,-5,-8,LEFT
20.825,-11,-2,-6,-16,-18,-18,-36,-13,-2,-12,-6,-4,-18,-9,-7,14,14,4,7,8,10,-144,-112,-121,-83,-82,-46,-101,-99,-25,-22,-23,-24,-22,-34,-35,-100,-99,3,-4,12,-1,19,-9,-1,1,20,21,19,19,18,13,17,20,0,15,13,6,10,-12,11,3,-10,-13,LEFT
20.8313,17,15,12,-3,1,1,-16,10,15,3,8,12,-2,6,5,27,27,17,18,17,20,-131,-104,-116,-89,-87,-39,-100,-98,-46,-15,-17,-18,-16,-23,-24,-78,-92,-4,-3,24,-3,18,-2,3,-4,21,21,16,15,13,5,6,7,-13,12,6,-4,-8,-30,1,-5,-22,-25,LEFT
20.8375,6,4,0,-11,-6,-7,-18,-2,-1,-12,-4,-5,-17,-22,-13,11,12,3,-2,-5,-7,-135,-115,-143,-93,-91,-53,-110,-109,-49,-27,-30,-31,-29,-35,-34,-72,-121,-30,-29,8,-27,11,-6,-19,-25,5,5,4,4,3,-7,-9,-7,-26,2,-3,-10,-16,-36,-6,-10,-24,-30,LEFT
20.8438,-2,0,-5,-11,-7,-7,-22,-11,-7,-11,-4,-6,-14,-11,-16,15,15,8,3,2,1,-142,-96,-112,-65,-62,-38,-92,-90,-20,-13,-15,-15,-14,-26,-26,-55,-93,-7,-1,4,2,18,4,-14,2,13,14,16,15,16,8,7,10,0,10,7,3,4,-18,4,-1,-10,-11,LEFT
20.85,-4,0,-5,-9,-4,-4,-25,-12,-8,-12,-5,-5,-15,-2,-12,16,16,8,4,2,1,-120,-94,-111,-64,-63,-52,-98,-96,-35,-33,-36,-37,-34,-43,-44,-62,-95,-9,-13,31,-12,0,-20,-1,-12,9,9,9,8,6,-2,-2,1,-17,6,0,-2,-4,-25,-4,-3,-6,-7,LEFT
20.8563,-29,-14,-18,-22,-19,-19,-44,-23,-17,-19,-12,-12,-23,-12,-15,8,10,8,1,-2,-3,-148,-115,-117,-78,-76,-55,-107,-105,-34,-30,-30,-31,-29,-35,-37,-54,-88,-12,-6,17,-3,15,-13,-1,-2,18,18,21,22,21,15,16,20,1,17,13,13,14,-7,12,6,6,3,LEFT
20.8625,-11,17,14,7,12,12,-15,7,12,14,20,21,11,14,12,38,37,38,33,32,30,-157,-88,-83,-41,-40,-18,-62,-60,0,7,5,4,5,-1,-3,-44,-76,-4,17,37,20,35,-5,23,19,37,38,39,39,38,34,34,36,14,31,27,24,26,5,24,18,13,7,LEFT
20.8688,-3,24,20,14,17,16,-6,8,14,13,18,22,7,9,14,31,32,27,26,22,21,-153,-95,-102,-60,-60,-29,-78,-78,-18,-8,-12,-13,-10,-22,-21,-65,-98,-21,-2,42,-1,10,-24,23,0,23,25,24,23,22,17,16,18,-5,21,17,15,12,-7,15,16,5,1,LEFT
20.875,-3,13,7,4,1,1,-29,6,11,6,9,12,-2,1,16,29,31,21,25,18,19,-116,-92,-111,-59,-57,-23,-90,-90,-14,5,5,4,6,-10,-11,-53,-74,-2,7,47,11,21,-1,27,12,40,41,41,42,40,37,33,36,11,48,42,37,37,16,41,41,23,31,LEFT
20.8813,29,34,30,24,23,21,-17,29,33,27,29,31,16,15,38,51,51,38,43,34,30,-108,-76,-99,-35,-32,-11,-66,-64,-19,13,11,10,12,-1,-2,-25,-46,-9,8,25,8,34,-3,22,8,44,44,42,41,37,32,29,31,1,50,41,28,26,5,36,37,17,31,LEFT
20.8875,22,19,14,11,6,4,-33,16,14,11,13,13,-5,-4,22,30,31,20,21,12,6,-126,-99,-110,-59,-59,-31,-89,-87,-53,-18,-20,-20,-17,-21,-22,-51,-90,-27,-10,28,-8,23,-16,14,-5,27,26,21,21,17,11,12,14,-7,29,21,8,11,-10,18,23,3,11,LEFT
